,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,IPS,Touchscreen,HDD,SSD,Hybrid,Flash_Storage
225,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,73981,141.21,0,0,0,256,0,0
226,Dell,Notebook,Intel Core i7,16,1TB HDD,AMD Radeon,Windows 10,2.3,76383,141.21,0,1,1,0,0,0
227,Asus,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,68379,141.21,0,0,0,256,0,0
228,Asus,Notebook,Intel Core i5,8,256GB SSD +  500GB HDD,Nvidia GeForce,Windows 10,2.69,79228,127.34,0,0,500,256,0,0
229,HP,Notebook,Intel Core i7,8,1TB HDD,AMD FirePro,Windows 10,1.9,112839,141.21,0,0,1,0,0,0
230,Asus,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.37,35478,100.45,0,0,1,0,0,0
231,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,29344,100.45,0,0,500,0,0,0
232,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,133291,141.21,1,0,1,256,0,0
233,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.6,76382,157.35,0,0,0,256,0,0
234,Acer,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.6,61266,165.63,1,1,0,256,0,0
235,Dell,Notebook,Intel Core i7,16,256GB SSD,AMD Radeon,Linux,2.36,79939,141.21,0,0,0,256,0,0
236,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,34679,100.45,0,0,1,0,0,0
237,Asus,Notebook,AMD A-Series,4,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.2,51129,141.21,0,0,1,128,0,0
238,Asus,Gaming,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.7,345899,127.34,0,0,1,512,0,0
239,Acer,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,75226,141.21,1,0,0,256,0,0
240,Lenovo,Notebook,Intel Core i3,8,128GB SSD,Intel HD,Windows 10,2.2,52374,100.45,0,0,0,128,0,0
241,Asus,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.1,101813,127.34,0,0,1,128,0,0
242,Asus,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.69,79050,127.34,0,0,1,128,0,0
243,Dell,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.56,78161,141.21,0,0,0,256,0,0
245,Dell,Notebook,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.2,87586,141.21,0,0,2,128,0,0
246,HP,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.04,49706,100.45,0,1,1,0,0,0
247,Asus,Gaming,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,3.6,266671,127.34,0,0,0,256,0,0
248,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,60021,165.63,1,0,500,0,0,0
249,Apple,Ultrabook,Intel Core i5,8,512GB SSD,Intel Iris,mac OS,1.37,181397,226.98,1,0,0,512,0,0
250,Dell,2 in 1 Convertible,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,2.08,72825,141.21,1,1,1,0,0,0
251,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.3,159967,127.34,0,0,1,256,0,0
252,Asus,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,1.68,41703,100.45,0,0,1,0,0,0
254,Acer,Notebook,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,62422,127.34,1,0,0,256,0,0
255,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.41,84385,165.63,0,0,0,256,0,0
256,HP,Notebook,AMD A-Series,8,128GB SSD,AMD Radeon,Windows 10,1.91,39649,100.45,0,0,0,128,0,0
257,HP,Notebook,Intel Core i7,16,1TB HDD,Nvidia GeForce,Windows 10,2.9,94166,127.34,1,0,1,0,0,0
258,MSI,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.14,222211,127.34,0,0,1,512,0,0
259,Lenovo,2 in 1 Convertible,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,2.0,151075,141.21,1,1,0,512,0,0
260,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,101547,127.34,0,0,1,128,0,0
261,Lenovo,Notebook,Intel Core i3,4,256GB SSD,Intel HD,No OS,2.2,39480,141.21,0,0,0,256,0,0
262,HP,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,64200,141.21,1,0,500,0,0,0
263,Dell,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,2.18,58420,141.21,0,0,1,0,0,0
264,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.24,50240,141.21,0,0,1,0,0,0
265,Dell,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.67,71047,141.21,0,1,0,256,0,0
266,Asus,2 in 1 Convertible,Intel Core i7,8,512GB SSD +  512GB SSD,Intel UHD,Windows 10,1.1,133291,165.63,0,1,0,1024,0,0
267,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Intel HD,No OS,2.2,41526,141.21,0,0,1,0,0,0
268,HP,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,90521,127.34,0,0,1,0,0,0
269,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,2.05,78250,141.21,0,0,0,256,0,0
270,Apple,Ultrabook,Intel Core i5,8,512GB SSD,Intel Iris,mac OS,1.37,174185,226.98,1,0,0,512,0,0
271,Asus,Gaming,AMD Ryzen Series,16,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,137737,127.34,0,0,1,256,0,0
272,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.14,65362,141.21,0,0,0,256,0,0
273,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.36,222211,209.8,0,1,0,512,0,0
274,Toshiba,Notebook,Intel Core i7,8,500GB HDD,Nvidia GeForce,Windows 10,2.2,72203,100.45,0,0,500,0,0,0
275,Dell,Notebook,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.3,63406,100.45,0,0,1,0,0,0
276,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Linux,2.8,97723,127.34,0,0,1,128,0,0
277,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,66245,141.21,1,0,1,0,0,0
278,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.8,43482,106.11,0,0,1,0,0,0
279,Lenovo,Notebook,Intel Core i7,8,2TB HDD,Nvidia GeForce,No OS,2.8,75493,127.34,0,0,2,0,0,0
280,Lenovo,Notebook,Intel Core i7,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,76382,106.11,0,0,1,128,0,0
281,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.25,38058,141.21,0,0,1,0,0,0
282,Lenovo,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,73715,141.21,1,0,0,256,0,0
283,Lenovo,Notebook,Intel Core i5,6,256GB SSD,Intel HD,Windows 10,2.2,51485,141.21,0,0,0,256,0,0
284,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,84563,141.21,1,0,0,256,0,0
285,Acer,Notebook,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.15,58598,141.21,1,1,1,0,0,0
286,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.95,97545,141.21,1,0,0,256,0,0
287,Asus,Ultrabook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,86875,141.21,0,0,0,256,0,0
288,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,104837,141.21,1,0,1,256,0,0
289,Lenovo,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,No OS,2.2,58599,141.21,0,0,1,0,0,0
290,Acer,Notebook,Other Intel Processor,2,16GB SSD,Intel HD,Chrome OS,2.19,17695,100.45,0,0,0,16,0,0
291,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.0,105548,127.34,0,0,1,0,0,0
292,HP,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.54,43482,106.11,0,0,1,0,0,0
293,Dell,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,162635,141.21,0,0,0,256,0,0
294,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.05,65712,141.21,0,0,0,256,0,0
295,Lenovo,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.2,115507,141.21,1,0,1,0,0,0
296,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,87053,141.21,0,0,0,256,0,0
297,Dell,Workstation,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows 10,3.42,256522,127.34,0,0,0,256,0,0
298,Lenovo,Notebook,AMD A-Series,6,1TB HDD,AMD Radeon,Windows 10,2.4,44371,141.21,0,0,1,0,0,0
299,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.63,130535,141.21,0,0,0,512,0,0
300,Asus,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.3,45260,111.94,0,0,0,128,0,0
301,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,188688,127.34,0,0,1,256,0,0
302,Lenovo,Notebook,Intel Core i5,6,1TB HDD,Nvidia GeForce,Windows 10,2.8,57709,106.11,0,0,1,0,0,0
303,Lenovo,Notebook,Intel Core i5,8,2TB HDD,Nvidia GeForce,No OS,2.2,48817,100.45,0,0,2,0,0,0
304,Asus,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,112484,141.21,0,0,1,128,0,0
305,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,2.2,32010,100.45,0,0,1,0,0,0
306,HP,2 in 1 Convertible,Intel Core i7,16,256GB SSD,Intel HD,Windows 10,1.28,175617,165.63,0,1,0,256,0,0
307,Toshiba,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,92744,141.21,1,0,0,256,0,0
308,Lenovo,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,72825,141.21,0,0,1,128,0,0
309,HP,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.86,41703,141.21,0,0,1,0,0,0
310,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,88831,165.63,1,0,0,256,0,0
311,Dell,Ultrabook,Intel Core i7,16,1TB SSD,Intel UHD,Windows 10,1.21,222211,331.26,1,1,0,1,0,0
312,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,186643,141.21,1,0,1,256,0,0
313,Acer,Notebook,AMD A-Series,8,256GB SSD,AMD Radeon,Windows 10,2.23,41703,141.21,0,0,0,256,0,0
314,Asus,2 in 1 Convertible,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.1,24453,135.09,0,1,0,0,0,32
315,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.33,75048,141.21,0,0,1,128,0,0
316,HP,2 in 1 Convertible,Intel Core i7,16,1TB SSD,Intel UHD,Windows 10,1.29,217765,331.26,1,1,0,1,0,0
317,Lenovo,Notebook,Other Intel Processor,4,16GB Flash Storage,Intel HD,Chrome OS,1.45,40894,117.83,0,0,0,0,0,16
318,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.95,87142,157.35,0,0,0,256,0,0
319,Acer,Notebook,Other Intel Processor,4,128GB Flash Storage,Intel HD,Windows 10,1.4,43126,135.09,0,0,0,0,0,128
320,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.48,114885,157.35,0,0,0,256,0,0
321,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows 10,2.79,52374,106.11,0,0,1,0,0,0
322,Asus,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.0,97278,157.35,0,0,0,256,0,0
323,HP,Notebook,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,2.1,80206,100.45,1,0,1,0,0,0
324,Acer,Notebook,AMD A-Series,8,256GB SSD,AMD Radeon,Windows 10,2.2,58598,100.45,0,0,0,256,0,0
325,Lenovo,Notebook,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.44,25965,111.94,0,0,0,0,0,32
326,Acer,Notebook,Intel Core i5,6,1TB HDD,Intel HD,Windows 10,2.23,48817,100.45,0,0,1,0,0,0
327,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,93357,141.21,0,0,0,256,0,0
328,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.26,118708,176.23,0,0,0,256,0,0
329,Dell,Notebook,Intel Core i7,32,1TB SSD,Nvidia GeForce,Windows 10,2.06,234660,282.42,0,1,0,1,0,0
330,MSI,Gaming,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,106615,127.34,0,0,1,256,0,0
331,Toshiba,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.0,83852,141.21,1,0,0,256,0,0
332,Asus,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD,Windows 10,2.0,118619,157.35,0,0,1,256,0,0
333,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,39925,141.21,0,0,1,0,0,0
334,Asus,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,88831,141.21,0,0,0,256,0,0
335,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.48,112751,157.35,0,0,0,256,0,0
336,Dell,Ultrabook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.9,93277,141.21,1,0,1,128,0,0
337,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.84,101724,141.21,0,0,0,256,0,0
338,Asus,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Linux,2.0,24452,100.45,0,0,1,0,0,0
339,Dell,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,101613,141.21,0,0,0,256,0,0
340,Dell,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Linux,2.2,24444,100.45,0,0,500,0,0,0
341,Lenovo,Notebook,AMD A-Series,12,2TB HDD,AMD Radeon,Windows 10,2.2,79939,141.21,0,0,2,0,0,0
342,HP,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,Windows 10,2.1,63667,141.21,1,0,1,0,0,0
344,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,140405,165.63,0,0,0,256,0,0
345,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.4,100391,141.21,1,0,2,256,0,0
346,HP,Notebook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.44,24809,111.94,0,0,0,0,0,32
347,Dell,Ultrabook,Intel Core i7,16,512GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,142980,141.21,0,0,0,768,0,0
348,Asus,2 in 1 Convertible,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.5,33345,135.09,0,1,0,0,0,32
349,Dell,Ultrabook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,1.9,58954,141.21,0,0,1,0,0,0
350,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,180278,282.42,0,1,0,512,0,0
351,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.84,115952,141.21,0,0,0,256,0,0
352,MSI,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,125288,127.34,0,0,1,128,0,0
353,HP,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.6,154567,141.21,0,0,0,256,0,0
354,Toshiba,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.4,124755,141.21,1,0,0,512,0,0
355,Dell,Notebook,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.02,86332,141.21,0,0,2,128,0,0
356,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,2.2,28631,100.45,0,0,1,0,0,0
357,Dell,Gaming,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.65,88831,141.21,0,0,1,0,0,0
358,Dell,Notebook,Intel Core i5,8,2TB HDD,Intel HD,Windows 10,2.36,49561,100.45,0,1,2,0,0,0
359,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.36,126889,157.35,0,0,0,256,0,0
360,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,1.86,39036,100.45,0,0,500,0,0,0
361,Asus,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.0,84029,157.35,0,0,0,256,0,0
362,Lenovo,Notebook,Intel Core i5,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,63933,106.11,0,0,1,128,0,0
363,HP,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,1.86,56820,141.21,0,0,1,0,0,0
364,Lenovo,Notebook,Intel Core i3,8,256GB SSD,Nvidia GeForce,No OS,2.2,44371,100.45,0,0,0,256,0,0
365,HP,Notebook,Other Intel Processor,8,2TB HDD,Intel HD,Windows 10,2.04,34590,100.45,0,0,2,0,0,0
366,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,96478,127.34,0,0,1,128,0,0
367,Lenovo,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.4,71936,141.21,1,0,1,128,0,0
368,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.33,79939,141.21,0,0,0,256,0,0
369,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.36,155610,157.35,1,0,0,256,0,0
370,Asus,2 in 1 Convertible,Intel Core i7,12,512GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.26,97723,141.21,0,1,2,512,0,0
371,Acer,Notebook,AMD A-Series,4,128GB SSD,AMD Radeon,Windows 10,2.1,37880,100.45,0,0,0,128,0,0
372,Asus,Gaming,AMD Ryzen Series,16,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.25,195535,127.34,1,0,1,256,0,0
373,Lenovo,Notebook,AMD A-Series,4,128GB SSD,AMD Radeon,Windows 10,2.6,43482,106.11,0,0,0,128,0,0
374,Dell,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.62,77272,165.63,0,1,0,256,0,0
375,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.91,43481,141.21,0,0,0,256,0,0
376,Lenovo,Netbook,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,1.59,49173,135.09,1,0,0,128,0,0
377,Dell,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,1.8,27476,100.45,0,0,500,0,0,0
378,Asus,Notebook,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.5,25431,111.94,0,0,0,0,0,32
379,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,75226,141.21,0,0,1,0,0,0
380,HP,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,105904,127.34,1,0,1,128,0,0
381,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,No OS,1.85,35879,141.21,0,0,0,128,0,0
382,Asus,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,147163,141.21,1,0,1,128,0,0
383,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.5,97723,157.35,1,0,0,256,0,0
384,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.1,155512,165.63,0,1,0,512,0,0
385,Lenovo,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.13,202915,209.8,1,0,0,512,0,0
386,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.5,48817,165.63,1,0,0,128,0,0
387,Dell,Workstation,Intel Core i5,8,500GB HDD,AMD FirePro,Windows 10,2.23,121731,141.21,0,0,500,0,0,0
388,Dell,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.0,189844,141.21,1,0,0,256,0,0
389,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.42,223100,209.8,0,1,0,512,0,0
390,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.0,92388,127.34,0,0,1,0,0,0
391,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,141472,127.34,0,0,1,256,0,0
392,Acer,Notebook,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.2,61710,100.45,1,0,1,0,0,0
393,MSI,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.7,119953,127.34,0,0,0,256,0,0
394,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.33,69257,141.21,0,0,0,256,0,0
395,HP,Ultrabook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.91,44371,141.21,0,0,0,256,0,0
396,Lenovo,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.1,109332,141.21,1,0,0,256,0,0
397,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.9,83407,157.35,1,0,0,256,0,0
398,Dell,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,1.78,241151,282.42,0,1,0,256,0,0
399,Lenovo,Ultrabook,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.13,233415,209.8,1,0,0,1,0,0
400,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.2,27210,100.45,0,0,1,0,0,0
401,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,135959,127.34,0,0,1,256,0,0
402,Lenovo,Notebook,Intel Core i5,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.1,101769,141.21,1,0,1,256,0,0
403,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,78161,141.21,0,0,0,256,0,0
404,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,199981,127.34,0,0,1,256,0,0
405,Asus,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.1,166547,157.35,0,0,0,512,0,0
406,Toshiba,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.2,155343,165.63,0,0,0,512,0,0
407,Dell,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.36,149386,157.35,0,0,0,512,0,0
408,Lenovo,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.2,36368,141.21,0,0,500,0,0,0
409,Lenovo,Notebook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.15,27072,135.09,0,0,0,0,0,32
410,Lenovo,Workstation,Intel Core i7,8,512GB SSD,Nvidia Quadro,Windows 10,2.67,171171,141.21,0,0,0,512,0,0
411,Lenovo,Ultrabook,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,1.7,172772,209.8,1,0,0,512,0,0
412,HP,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.1,41703,141.21,0,0,1,0,0,0
413,Acer,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.6,70159,165.63,1,1,0,256,0,0
414,Asus,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.27,82518,165.63,1,1,0,256,0,0
415,Dell,Notebook,Intel Core i5,4,256GB SSD,AMD Radeon,Linux,2.3,53254,141.21,0,0,0,256,0,0
416,Dell,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.65,61266,117.83,0,0,0,128,0,0
417,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.43,133380,157.35,0,0,0,256,0,0
418,Dell,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.14,48012,100.45,0,0,1,0,0,0
419,Lenovo,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.75,108072,157.35,1,0,0,256,0,0
420,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.0,168859,282.42,1,1,0,512,0,0
422,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.31,126889,141.21,0,0,0,256,0,0
423,Asus,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,Linux,2.3,53085,141.21,0,0,1,0,0,0
424,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,248887,169.78,1,0,1,256,0,0
425,Dell,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,103058,141.21,1,0,1,128,0,0
426,Dell,Notebook,Intel Core i7,8,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.02,101582,141.21,0,0,2,256,0,0
427,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Linux,1.6,97723,157.35,0,0,0,256,0,0
428,HP,Gaming,Intel Core i7,12,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,177751,127.34,0,0,1,256,0,0
431,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.4,89809,165.63,1,0,0,256,0,0
432,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.7,53263,157.35,1,0,0,128,0,0
433,Lenovo,Workstation,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.3,217409,282.42,1,0,0,512,0,0
434,Lenovo,Notebook,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows 10,2.5,217765,141.21,0,0,0,512,0,0
435,Asus,Gaming,AMD Ryzen Series,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,150719,127.34,0,0,1,256,0,0
